지점,어린이1806,어린이1807,어린이1808,어린이1809,어린이1906,어린이1907,어린이1908,어린이1909,어린이2006,어린이2007,어린이2008,어린이2009,어린이평균
면목3·8동,24.70833333,28.39784946,28.87096774,23.88888889,24.25,26.67741935,27.67383513,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.42034018
면목4동,24.70833333,28.39784946,28.87096774,23.88888889,24.25,26.67741935,27.67383513,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.42034018
면목5동,24.70833333,28.39784946,28.87096774,23.88888889,24.25,26.67741935,27.67383513,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.42034018
면목7동,24.70833333,28.39784946,28.87096774,23.88888889,24.25,26.67741935,27.67383513,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.42034018
면목본동,24.70833333,28.39784946,28.87096774,23.88888889,24.25,26.67741935,27.67383513,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.42034018
명동,24.35416667,27.8172043,28.78494624,23.26666667,23.83333333,26.5483871,27.69892473,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.35997887
명일1동,24.79166667,28.37634409,29.10752688,23.75555556,24.10416667,26.62365591,28.05376344,22.68888889,28.16666667,28.44086022,30.91397849,26.71111111,27.42851751
명일2동,24.79166667,28.37634409,29.10752688,23.75555556,24.10416667,26.62365591,28.05376344,22.68888889,28.16666667,28.44086022,30.91397849,26.71111111,27.42851751
목1동,24.45833333,28.50537634,28.93763441,24.26666667,23.91666667,26.77419355,27.85806452,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.67949879
목2동,24.45833333,28.50537634,28.93763441,24.26666667,23.91666667,26.77419355,27.85806452,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.67949879
목3동,24.45833333,28.50537634,28.93763441,24.26666667,23.91666667,26.77419355,27.85806452,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.67949879
목4동,24.45833333,28.50537634,28.93763441,24.26666667,23.91666667,26.77419355,27.85806452,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.67949879
목5동,24.45833333,28.50537634,28.93763441,24.26666667,23.91666667,26.77419355,27.85806452,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.67949879
무악동,24.35416667,27.8172043,28.92473118,23.26666667,23.83333333,26.5483871,27.58064516,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.36239432
묵1동,24.54166667,28.32258065,28.93010753,23.66666667,23.91666667,26.77419355,27.85806452,23.26666667,28.22916667,28.40860215,30.91397849,26.71111111,27.40004529
묵2동,24.54166667,28.32258065,28.93010753,23.66666667,23.91666667,26.77419355,27.85806452,23.26666667,28.22916667,28.40860215,30.91397849,26.71111111,27.40004529
문래동,24.3125,28.31182796,28.97849462,24,24.0625,26.84946237,28.49462366,22.95555556,28.75,29.27956989,31.87096774,27.73333333,27.7700785
문정1동,24.83333333,28.56989247,28.69354839,24.13333333,24.64583333,27.31182796,28.48387097,23.11111111,28.6875,29.03225806,31.67741935,27.44444444,27.82487923
문정2동,24.83333333,28.56989247,28.69354839,24.13333333,24.64583333,27.31182796,28.48387097,23.11111111,28.6875,29.03225806,31.67741935,27.44444444,27.82487923
미성동,24.25,28.24731183,28.62365591,23.84444444,24.11197917,26.90725807,28.31854839,22.69444445,28.60416667,29.39784946,32.02150538,27.91111111,27.7182688
