,연도,시설번호,시설명,주소,사용여부,면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,위도,경도,도
613,2021,8,국민은행 암사역지점,서울특별시 강동구 올림픽로 767,Y,345,60,2,5,N,N,N,37.549594,127.127002,서울특별시
614,2021,8,우리은행 암사역지점,"서울특별시 강동구 올림픽로 769 , 삼정빌딩 (암사동)",Y,65,20,2,2,N,N,N,37.5499649,127.1271794,서울특별시
615,2021,8,신한은행 암사역지점,"서울특별시 강동구 올림픽로 787 , 태성프라자 (암사동)",Y,0,30,3,2,N,N,N,37.5515464,127.1277253,서울특별시
616,2021,8,우리은행 암사동지점,"서울특별시 강동구 고덕로 133 , 강동 롯데캐슬퍼스트아파트 (암사동)",Y,368,50,6,5,N,N,N,37.5552514,127.1403481,서울특별시
617,2021,8,국민은행 굽은다리역 지점,"서울특별시 강동구 양재대로 1553 , 선진빌딩 (천호동)",Y,426,70,2,6,N,N,N,37.5443617,127.1420884,서울특별시
618,2021,8,새마을금고 천호지점,서울특별시 강동구 구천면로 290,Y,200,20,2,2,N,N,N,37.5455572,127.1336808,서울특별시
619,2021,8,국민은행 천호동 지점,서울특별시 강동구 구천면로 200,Y,518,70,3,5,N,N,N,37.540006,127.12665,서울특별시
620,2021,8,강동농협 로데오지점,"서울특별시 강동구 천호대로157길 53 , 강동농협 로데오지점 (천호동)",Y,40,30,2,2,N,N,N,37.5401832,127.1275294,서울특별시
621,2021,8,농협 천호동지점,서울특별시 강동구 올림픽로 659 (천호동),Y,0,30,2,2,N,N,N,37.5403064,127.1235648,서울특별시
622,2021,8,신한은행 천호동금융센터점,서울특별시 강동구 올림픽로 674,Y,50,20,3,10,N,N,N,37.5414405,127.1248217,서울특별시
623,2021,8,동서울신용협동조합 천호지점,서울특별시 강동구 구천면로 236,Y,0,30,2,2,N,N,N,37.5413757,127.130563,서울특별시
624,2021,8,신한은행 강동역지점,"서울특별시 강동구 천호대로 1099 , 정산타워빌딩-신한은행 (천호동)",Y,0,20,3,2,N,N,N,37.535761,127.1341204,서울특별시
625,2021,8,강동농협 강동역지점,서울특별시 강동구 진황도로 39 (천호동),Y,0,30,2,2,N,N,N,37.5384308,127.1316721,서울특별시
626,2021,8,기업은행 천호동지점,서울특별시 강동구 천호대로 1033,Y,200,30,2,2,N,N,N,37.5378953,127.1269598,서울특별시
627,2021,8,KEB하나은행 강동역점,서울특별시 강동구 천호대로 1089,Y,50,20,2,10,N,N,N,37.5366104,127.1333102,서울특별시
628,2021,8,우리은행 천호동지점,서울특별시 강동구 천호대로 1016,Y,50,20,2,10,N,N,N,37.537775,127.1248159,서울특별시
629,2021,8,우리은행 둔촌역금융센터,"서울특별시 강동구 양재대로 1377 , 우리은행 둔촌역금융센터 (성내동)",Y,185,50,2,5,N,N,N,37.5292209,127.1362627,서울특별시
630,2021,8,국민은행 둔촌역지점,서울특별시 강동구 양재대로 1313 (성내동),Y,221,40,2,4,N,N,N,37.5237055,127.1342481,서울특별시
631,2021,8,신한은행 둔촌동지점,서울특별시 강동구 양재대로 1315 (성내동),Y,0,30,3,2,N,N,N,37.5238388,127.1342936,서울특별시
632,2021,8,강동농협 둔촌역지점,서울특별시 강동구 양재대로 1349,Y,0,30,2,2,N,N,N,37.5267208,127.1353622,서울특별시
633,2021,8,기업은행 둔촌동지점,서울특별시 강동구 양재대로 1317,Y,200,30,2,2,N,N,N,37.5239937,127.1343618,서울특별시
634,2021,8,KEB 하나은행 둔촌역지점,서울특별시 강동구 양재대로 1349,Y,200,30,2,2,N,N,N,37.526663,127.135336,서울특별시
635,2021,8,우리은행 길동지점,서울특별시 강동구 양재대로 1554,Y,12,5,5,2,N,N,N,37.5441518,127.142776,서울특별시
636,2021,8,우리은행 길동역지점,서울특별시 강동구 양재대로 1477,Y,287,50,2,4,N,N,N,37.5377692,127.1396817,서울특별시
637,2021,8,국민은행 길동지점,서울특별시 강동구 양재대로 1443,Y,322,60,2,5,N,N,N,37.5349306,127.138536,서울특별시
638,2021,8,신한은행 길동지점,서울특별시 강동구 양재대로 1464,Y,17,30,3,2,N,N,N,37.5365005,127.1397835,서울특별시
639,2021,8,강동농협 길일지점,서울특별시 강동구 천중로 206,Y,15,30,2,2,N,N,N,37.5407025,127.143032,서울특별시
640,2021,8,강동신용협동조합 길동지점,서울특별시 강동구 양재대로 1483,Y,0,30,2,2,N,N,N,37.538432,127.1399681,서울특별시
641,2021,8,SH수협길동사거리지점,서울특별시 강동구 천호대로 1133,Y,0,30,2,2,N,N,N,37.534626,127.137474,서울특별시
642,2021,8,서울시산림조합길동지점,서울특별시 강동구 명일로 243,Y,0,30,2,2,N,N,N,37.540397,127.146675,서울특별시
643,2021,8,기업은행 길동지점,서울특별시 강동구 천호대로 1139,Y,200,30,2,2,N,N,N,37.534532,127.138097,서울특별시
644,2021,8,농협 길동지점,서울특별시 강동구 양재대로 1458,Y,200,30,2,2,N,N,N,37.535831,127.139564,서울특별시
645,2021,8,우리은행 둔촌남지점,"서울특별시 강동구 진황도로 195 , 중앙보훈병원 정문앞 (둔촌동)",Y,49,30,2,2,N,N,N,37.5289707,127.1436386,서울특별시
646,2021,8,우리은행 둔촌동지점,"서울특별시 강동구 천호대로 1190 , 광남캐스빌아파트101동 (둔촌동)",Y,45,30,2,2,N,N,N,37.5341245,127.1435715,서울특별시
647,2021,8,국민은행 둔촌남지점,서울특별시 강동구 천호대로 1210,Y,50,40,0,2,N,N,N,37.5348999,127.1456371,서울특별시
648,2021,8,우리은행강동구청지점,"서울특별시 강동구 성내로 25 , 강동구청 (성내동)",Y,35,25,2,1,N,N,N,37.5301609,127.1237924,서울특별시
649,2021,8,국민은행 강동구청역지점,서울특별시 강동구 성내로 12,Y,359,60,2,5,N,N,N,37.5301485,127.1218601,서울특별시
650,2021,8,기업은행 강동구청역 지점,서울특별시 강동구 성내로6길 11 (성내동),Y,0,30,2,2,N,N,N,37.5290548,127.1234241,서울특별시
651,2021,8,농협 서울영업본부점,서울특별시 강동구 올림픽로 528,Y,200,30,2,2,N,N,N,37.5289822,127.1204327,서울특별시
652,2021,8,국민은행 천호역지점,서울특별시 강동구 천호대로 1032,Y,116,50,3,2,N,N,N,37.5373037,127.126511,서울특별시
653,2021,8,강동농협 성내지점,"서울특별시 강동구 풍성로37길 44 , 공빌딩 (성내동)",Y,1578,30,2,2,N,N,N,37.5337582,127.126731,서울특별시
654,2021,8,SC제일은행강동역지점,서울특별시 강동구 천호대로 1102,Y,0,30,2,2,N,N,N,37.5347849,127.1336797,서울특별시
655,2021,8,서울강동새마을금고 성내지점,서울특별시 강동구 풍성로 161,Y,200,20,2,2,N,N,N,37.5307813,127.1299843,서울특별시
656,2021,8,신한은행 정릉지점,서울특별시 성북구 보국문로 37,Y,50,5,2,1,N,N,N,37.6079277,127.0099078,서울특별시
657,2021,8,새마을금고 한양(본점),서울특별시 성북구 보국문로 8,Y,50,5,2,1,N,N,N,37.6054035,127.0116365,서울특별시
658,2021,8,KB국민은행 정릉동지점,서울특별시 성북구 보국문로 50,Y,50,5,2,1,N,N,N,37.6088605,127.0100181,서울특별시
659,2021,8,새마을금고 길음중앙(본점),서울특별시 성북구 길음로 74,Y,50,5,2,1,N,N,N,37.6092983,127.0203804,서울특별시
660,2021,8,새마을금고 성북제일(본점),서울특별시 성북구 길음로 20,Y,50,5,2,1,N,N,N,37.6046906,127.023038,서울특별시
661,2021,8,서울종암동우체국,서울특별시 성북구 종암로 64,Y,50,5,2,1,N,N,N,37.5960997,127.0358231,서울특별시
662,2021,8,KB국민은행 종암센터,서울특별시 성북구 종암로 44,Y,50,5,2,1,N,N,N,37.5942847,127.0362784,서울특별시
663,2021,8,근해안강망수협 종암동지점,서울특별시 성북구 종암로19길 13,Y,5,5,2,1,N,N,N,37.5982224,127.0340788,서울특별시
664,2021,8,IBK기업은행 종암동지점,서울특별시 성북구 종암로 108,Y,50,5,2,1,N,N,N,37.599806,127.0344323,서울특별시
665,2021,8,새마을금고 새종암(제1지점),서울특별시 성북구 종암로 122,Y,50,5,2,1,N,N,N,37.6011878,127.0338594,서울특별시
666,2021,8,한국양봉농협 종암중앙지점,서울특별시 성북구 종암로 90,Y,50,5,2,1,N,N,N,37.5986603,127.0355001,서울특별시
667,2021,8,서울경기양돈농협 종암동지점,서울특별시 성북구 정릉로52길 5,Y,50,5,2,1,N,N,N,37.6038313,127.0302494,서울특별시
