지점,노인1806,노인1807,노인1808,노인1809,노인1906,노인1907,노인1908,노인1909,노인2006,노인2007,노인2008,노인2009,노인평균
구로5동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.83555555,27.35416667,28.25806452,31.10752688,26.86666667,26.95924668
구산동,22.875,26.98924731,27.30208333,22.17777778,23.64583333,26.93548387,27.30107527,22.42222222,27.6875,27.84946237,30.7311828,26.33333333,26.65757095
구의1동,23.79166667,27.80645161,28.08333333,23.17777778,23.375,26.89247312,27.17204301,22.65185185,27.35416667,27.84946237,30.47311828,26.2,26.86536333
구의2동,23.79166667,27.80645161,28.08333333,23.17777778,23.375,26.89247312,27.17204301,22.65185185,27.35416667,27.84946237,30.47311828,26.2,26.86536333
구의3동,23.79166667,27.80645161,28.08333333,23.17777778,23.375,26.89247312,27.17204301,22.65185185,27.35416667,27.84946237,30.47311828,26.2,26.86536333
군자동,23.79166667,27.80645161,28.08333333,23.17777778,23.375,26.89247312,27.17204301,22.42222222,27.35416667,28.53763441,30.47311828,26.2,26.93017814
금호1가동,23.39583333,27.20430108,27.54166667,22.35555556,23.60416667,27.1827957,27.70967742,22.58518519,27.89583333,28.53763441,31.30107527,26.93333333,27.01210246
금호2·3가동,23.39583333,27.20430108,27.54166667,22.35555556,23.60416667,27.1827957,27.70967742,22.58518519,27.89583333,28.53763441,31.30107527,26.93333333,27.01210246
금호4가동,23.39583333,27.20430108,27.54166667,22.35555556,23.60416667,27.1827957,27.70967742,22.58518519,27.89583333,28.53763441,31.30107527,26.93333333,27.01210246
길동,23.77083333,27.62365591,27.80808081,22.68888889,23.25,26.62365591,26.88172043,22.77777778,27.1875,28.51612903,30.11827957,25.82222222,26.72889676
길음1동,23.29166667,27.30107527,27.66145833,22.48888889,23.88541667,27.29032259,27.53763441,22.57777778,27.95833334,28.44086022,30.90322581,26.61111111,26.97597751
길음2동,23.29166667,27.30107527,27.66145833,22.48888889,23.88541667,27.29032259,27.53763441,22.57777778,27.95833334,28.44086022,30.90322581,26.61111111,26.97597751
낙성대동,23.3125,27.49462366,27.9375,22.75555556,23.3359375,26.97043011,27.50268817,22.99444444,27.75,28.11827957,31.22580645,26.91111111,27.00225506
난곡동,23.3125,27.49462366,27.9375,22.75555556,23.296875,26.90725807,27.45564516,22.95,27.75,28.41935484,31.22580645,26.91111111,27.01915384
난향동,23.3125,27.49462366,27.9375,22.75555556,23.296875,26.90725807,27.45564516,22.95,27.75,28.41935484,31.22580645,26.91111111,27.01915384
남가좌1동,23,27.13978495,27.55208333,22.24444444,23.14583333,26.72043011,27.10752688,22.33333333,27.52083333,28.16129032,30.59139785,26.37777778,26.64775815
남가좌2동,23,27.13978495,27.55208333,22.24444444,23.14583333,26.72043011,27.10752688,22.33333333,27.52083333,28.16129032,30.59139785,26.37777778,26.64775815
남영동,23.22916667,27.46236559,27.85416667,22.53333333,23.29166667,26.87096774,27.35483871,22.84444444,27.6875,28.37634409,30.93548387,26.57777778,26.90919384
남현동,23.33333333,27.50537634,27.86458333,22.68888889,23.0625,27.06451613,27.48387097,23,27.79166667,28.47311828,31.08602151,26.64444444,26.99860356
내곡동,23.72916667,27.68817204,27.91666667,22.71111111,23.70833333,27.38709677,27.65591398,22.75555556,28.02083333,28.47311828,31.20430108,26.71111111,27.15443841
노량진1동,23.3125,27.49462366,27.9375,22.75555556,23.375,26.95698925,27.50537634,23.01111111,27.75,27.95698925,31.22580645,26.91111111,26.98596015
노량진2동,23.3125,27.49462366,27.9375,22.75555556,23.375,26.95698925,27.50537634,23.01111111,27.75,27.95698925,31.22580645,26.91111111,26.98596015
녹번동,23,27.13978495,27.55208333,22.24444444,23.14583333,26.72043011,27.10752688,22.42222222,27.52083333,28.53763441,30.59139785,26.37777778,26.6948596
논현1동,23.66666667,27.52150538,27.80729167,22.66666667,23.65625,27.29569893,27.76881721,22.75555556,27.95833333,28.00537635,31.26344086,26.88888889,27.07757775
논현2동,23.66666667,27.52150538,27.80729167,22.66666667,23.65625,27.29569893,27.76881721,22.75555556,27.95833333,28.00537635,31.26344086,26.88888889,27.07757775
능동,23.79166667,27.80645161,28.08333333,23.17777778,23.375,26.89247312,27.17204301,22.46666667,27.35416667,28.04301075,30.47311828,26.2,26.87703804
다산동,23.41666667,27.06451613,27.4375,22.26666667,22.9375,26.5483871,26.7311828,22.95555556,27.52083333,28.04301075,30.59139785,26.37777778,26.59790157
답십리1동,23.33333333,27.38709677,27.70833333,22.51111111,23.66666667,27.08602151,27.31182796,22.57777778,27.6875,28.13978495,30.65591398,26.37777778,26.84518418
답십리2동,23.33333333,27.38709677,27.70833333,22.51111111,23.66666667,27.08602151,27.31182796,22.57777778,27.6875,28.13978495,30.65591398,26.37777778,26.84518418
당산1동,23.41666667,27.60215054,28.09895834,23.11111112,23.09375,26.81182796,27.27956989,22.98888889,27.61458334,28.3655914,30.98387097,26.77777778,26.98711126
당산2동,23.41666667,27.60215054,28.09895834,23.11111112,23.09375,26.81182796,27.27956989,22.98888889,27.61458334,28.3655914,30.98387097,26.77777778,26.98711126
대림1동,23.38194444,27.50896057,27.97222222,22.94814815,23.13888889,26.82078853,27.49820789,23,27.55208334,28.3655914,31.16666667,26.88888889,27.00345964
대림2동,23.38194444,27.50896057,27.97222222,22.94814815,23.13888889,26.82078853,27.49820789,23,27.55208334,28.3655914,31.16666667,26.88888889,27.00345964
대림3동,23.38194444,27.50896057,27.97222222,22.94814815,23.13888889,26.82078853,27.49820789,23,27.55208334,28.3655914,31.16666667,26.88888889,27.00345964
대방동,23.3125,27.49462366,27.9375,22.75555556,23.375,26.95698925,27.50537634,22.97777778,27.75,28.41935484,31.22580645,26.91111111,27.03608092
대조동,22.875,26.98924731,27.30208333,22.17777778,23.64583333,26.93548387,27.30107527,22.44444444,27.6875,28.41935484,30.7311828,26.33333333,26.72278835
대치1동,23.9375,27.83870968,28.07291667,22.97777778,23.70833333,27.40860215,27.82795699,22.72592593,28.02083333,28.41935484,31.22580645,26.84444444,27.23846367
대치2동,23.9375,27.83870968,28.07291667,22.97777778,23.70833333,27.40860215,27.82795699,22.72592593,28.02083333,28.41935484,31.22580645,26.84444444,27.23846367
대치4동,23.9375,27.83870968,28.07291667,22.97777778,23.70833333,27.40860215,27.82795699,22.72592593,28.02083333,28.41935484,31.22580645,26.84444444,27.23846367
대학동,23.3125,27.49462366,27.9375,22.75555556,23.296875,26.90725807,27.45564516,22.95,27.75,28.41935484,31.22580645,26.91111111,27.01915384
대흥동,23.35416667,27.53763441,27.97916667,22.95555556,23.1875,26.84946237,27.29032258,22.24444444,27.75,28.41935484,31.05376344,26.77777778,26.94587862
도곡1동,23.9375,27.83870968,28.07291667,22.97777778,23.70833333,27.40860215,27.82795699,22.65555556,28.02083333,28.47311828,31.22580645,26.84444444,27.24067784
도곡2동,23.9375,27.83870968,28.07291667,22.97777778,23.70833333,27.40860215,27.82795699,22.65555556,28.02083333,28.47311828,31.22580645,26.84444444,27.24067784
도림동,23.3125,27.49462366,27.9375,22.75555556,23.375,26.95698925,27.50537634,23.02222222,27.75,28.16129032,31.22580645,26.91111111,27.00951087
도봉1동,23.20833333,27.10752688,27.55208333,22.28888889,23.66666667,27.21505376,27.34408602,22.57777778,27.9375,28.40860215,30.79569892,26.53333333,26.86341334
도봉2동,23.20833333,27.10752688,27.55208333,22.28888889,23.66666667,27.21505376,27.34408602,22.57777778,27.9375,28.40860215,30.79569892,26.53333333,26.86341334
도화동,23.35416667,27.53763441,27.97916667,22.95555556,23.1875,26.84946237,27.29032258,22.31111111,27.75,28.03225806,31.05376344,26.77777778,26.90602355
독산1동,23.08854167,27.23655914,27.69010417,22.58333334,22.97395833,26.70698925,27.30376344,22.94444445,27.36979167,28.16666667,31.04032258,26.68888889,26.80148891
독산2동,23.08854167,27.23655914,27.69010417,22.58333334,22.97395833,26.70698925,27.30376344,22.94444445,27.36979167,28.16666667,31.04032258,26.68888889,26.80148891
독산3동,23.08854167,27.23655914,27.69010417,22.58333334,22.97395833,26.70698925,27.30376344,22.94444445,27.36979167,28.16666667,31.04032258,26.68888889,26.80148891
독산4동,23.08854167,27.23655914,27.69010417,22.58333334,22.97395833,26.70698925,27.30376344,22.94444445,27.36979167,28.16666667,31.04032258,26.68888889,26.80148891
돈암1동,23.375,27.22580645,27.57291667,22.38888889,23.30208334,26.81720431,27.02150538,22.64444445,27.60416667,28.04301075,30.62365592,26.37777778,26.70946558
돈암2동,23.375,27.22580645,27.57291667,22.38888889,23.30208334,26.81720431,27.02150538,22.64444445,27.60416667,28.04301075,30.62365592,26.37777778,26.70946558
동선동,23.33333333,27.38709677,27.70833333,22.51111111,23.66666667,27.08602151,27.31182796,22.55555556,27.6875,27.49462366,30.65591398,26.37777778,26.77151268
